participant,group,condition,item,basic_prop,contrast_prop,sub_prop,sup_prop,other_prop,uncodeable,sub_only,basic_gen,strict_basic_gen
4364708ef153b55c228707f018ea3eea,A,single,furniture,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
4364708ef153b55c228707f018ea3eea,A,contrast,light,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
4364708ef153b55c228707f018ea3eea,A,single,vegetable,0.4,NA,1,0,0,FALSE,FALSE,TRUE,FALSE
4364708ef153b55c228707f018ea3eea,A,contrast,vehicle,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
778d24723cc848117fd6bf4bfaa35472,B,contrast,animal,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
778d24723cc848117fd6bf4bfaa35472,B,single,beast,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
778d24723cc848117fd6bf4bfaa35472,B,contrast,electronics,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
778d24723cc848117fd6bf4bfaa35472,B,single,fruit,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE
778d24723cc848117fd6bf4bfaa35472,B,contrast,furniture,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
778d24723cc848117fd6bf4bfaa35472,B,single,light,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
778d24723cc848117fd6bf4bfaa35472,B,contrast,vegetable,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
778d24723cc848117fd6bf4bfaa35472,B,single,vehicle,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
e20915dfee7ba38dec9eff1f6b76680d,C,single,animal,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE
e20915dfee7ba38dec9eff1f6b76680d,C,single,beast,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
e20915dfee7ba38dec9eff1f6b76680d,C,contrast,electronics,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
e20915dfee7ba38dec9eff1f6b76680d,C,contrast,fruit,0.3333333333333333,0,1,0,0,FALSE,FALSE,FALSE,FALSE
e20915dfee7ba38dec9eff1f6b76680d,C,single,furniture,0.6,NA,1,0,0,FALSE,FALSE,TRUE,FALSE
e20915dfee7ba38dec9eff1f6b76680d,C,single,light,0.6,NA,1,0,0,FALSE,FALSE,TRUE,FALSE
e20915dfee7ba38dec9eff1f6b76680d,C,contrast,vegetable,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
e20915dfee7ba38dec9eff1f6b76680d,C,contrast,vehicle,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
509a616664dc871903538dc8ae4e5c67,D,contrast,animal,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
509a616664dc871903538dc8ae4e5c67,D,contrast,beast,0,0.5,0,0,0,FALSE,FALSE,FALSE,FALSE
509a616664dc871903538dc8ae4e5c67,D,single,electronics,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
509a616664dc871903538dc8ae4e5c67,D,single,fruit,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
509a616664dc871903538dc8ae4e5c67,D,contrast,furniture,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
509a616664dc871903538dc8ae4e5c67,D,contrast,light,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
509a616664dc871903538dc8ae4e5c67,D,single,vegetable,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
509a616664dc871903538dc8ae4e5c67,D,single,vehicle,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
2c4e304d96faebc0a4a1631ef682bc6f,A,single,animal,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
2c4e304d96faebc0a4a1631ef682bc6f,A,contrast,beast,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
2c4e304d96faebc0a4a1631ef682bc6f,A,single,electronics,0,NA,0.5,0,0,FALSE,FALSE,FALSE,FALSE
2c4e304d96faebc0a4a1631ef682bc6f,A,contrast,fruit,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
2c4e304d96faebc0a4a1631ef682bc6f,A,single,furniture,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
2c4e304d96faebc0a4a1631ef682bc6f,A,contrast,light,0,1,0,0,0,FALSE,FALSE,FALSE,FALSE
2c4e304d96faebc0a4a1631ef682bc6f,A,single,vegetable,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
2c4e304d96faebc0a4a1631ef682bc6f,A,contrast,vehicle,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
2f5d3f2ec0c425ded7f607a07aed1451,B,contrast,animal,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
2f5d3f2ec0c425ded7f607a07aed1451,B,single,beast,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
2f5d3f2ec0c425ded7f607a07aed1451,B,contrast,electronics,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
2f5d3f2ec0c425ded7f607a07aed1451,B,single,fruit,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
2f5d3f2ec0c425ded7f607a07aed1451,B,contrast,furniture,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
2f5d3f2ec0c425ded7f607a07aed1451,B,single,light,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
