participant,group,condition,number,target,item,basic_prop,contrast_prop,sub_prop,sup_prop,other_prop,coding,fill
9fd0267105c0aa1fe304e63a8c231ff2,D,three-first,three,first,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
9fd0267105c0aa1fe304e63a8c231ff2,D,one-second,one,second,fruit,0.6666666666666666,0,1,0,0,broad subordinate,#CC4D06FF
9fd0267105c0aa1fe304e63a8c231ff2,D,three-second,three,second,furniture,0,0,1,0,0,narrow subordinate,#E1AF00FF
9fd0267105c0aa1fe304e63a8c231ff2,D,one-first,one,first,light,0,0,1,0,0,narrow subordinate,#E1AF00FF
9fd0267105c0aa1fe304e63a8c231ff2,D,three-first,three,first,vegetable,0,0,1,0,0,narrow subordinate,#E1AF00FF
9fd0267105c0aa1fe304e63a8c231ff2,D,one-second,one,second,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
29ae0702d7566825cae78dd0fb0279c5,C,three-first,three,first,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
29ae0702d7566825cae78dd0fb0279c5,C,one-second,one,second,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
29ae0702d7566825cae78dd0fb0279c5,C,three-second,three,second,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
29ae0702d7566825cae78dd0fb0279c5,C,one-first,one,first,fruit,1,1,1,0.2,0,basic,#44889CFF
29ae0702d7566825cae78dd0fb0279c5,C,three-first,three,first,furniture,0,0,1,0,0,narrow subordinate,#E1AF00FF
29ae0702d7566825cae78dd0fb0279c5,C,one-second,one,second,light,0,1,0,0,0,Uncodeable,grey
29ae0702d7566825cae78dd0fb0279c5,C,three-second,three,second,vegetable,0,0,1,0,0,narrow subordinate,#E1AF00FF
29ae0702d7566825cae78dd0fb0279c5,C,one-first,one,first,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
afb9ad38d1ce57d6ded38724d3f5647e,D,three-second,three,second,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
afb9ad38d1ce57d6ded38724d3f5647e,D,one-first,one,first,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
afb9ad38d1ce57d6ded38724d3f5647e,D,three-first,three,first,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
afb9ad38d1ce57d6ded38724d3f5647e,D,one-second,one,second,fruit,0.6666666666666666,0,1,0,0,broad subordinate,#CC4D06FF
afb9ad38d1ce57d6ded38724d3f5647e,D,three-second,three,second,furniture,0,1,0,0,0,Uncodeable,grey
afb9ad38d1ce57d6ded38724d3f5647e,D,one-first,one,first,light,0,0,1,0,0,narrow subordinate,#E1AF00FF
