participant,group,condition,item,basic_prop,contrast_prop,sub_prop,sup_prop,other_prop,uncodeable,sub_only,basic_gen,strict_basic_gen,coding,fill
a384c99e731f88ae0213bf7ce69ffbf3,A,No Contrast,electronics,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
a384c99e731f88ae0213bf7ce69ffbf3,A,Contrast,fruit,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
a384c99e731f88ae0213bf7ce69ffbf3,A,No Contrast,furniture,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE,basic,#44889CFF
a384c99e731f88ae0213bf7ce69ffbf3,A,Contrast,light,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
a384c99e731f88ae0213bf7ce69ffbf3,A,No Contrast,vegetable,0,NA,0.5,0,0,FALSE,FALSE,FALSE,FALSE,other,grey
a384c99e731f88ae0213bf7ce69ffbf3,A,Contrast,vehicle,0,0,0,0.4,0,FALSE,FALSE,FALSE,FALSE,other,grey
a9b43032ad704405350ab0760542d64f,C,No Contrast,animal,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
a9b43032ad704405350ab0760542d64f,C,No Contrast,beast,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE,basic,#44889CFF
a9b43032ad704405350ab0760542d64f,C,Contrast,electronics,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
a9b43032ad704405350ab0760542d64f,C,Contrast,fruit,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
a9b43032ad704405350ab0760542d64f,C,No Contrast,furniture,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
a9b43032ad704405350ab0760542d64f,C,No Contrast,light,0.4,NA,1,0,0,FALSE,FALSE,TRUE,FALSE,basic,#44889CFF
a9b43032ad704405350ab0760542d64f,C,Contrast,vegetable,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
a9b43032ad704405350ab0760542d64f,C,Contrast,vehicle,1,0,1,0,0,FALSE,FALSE,FALSE,FALSE,broad subordinate,#CC4D06FF
d9fe89579bae59b225c0714469acdade,D,Contrast,animal,0.3333333333333333,0,1,0,0,FALSE,FALSE,FALSE,FALSE,broad subordinate,#CC4D06FF
d9fe89579bae59b225c0714469acdade,D,Contrast,beast,0.3333333333333333,0,1,0,0,FALSE,FALSE,FALSE,FALSE,broad subordinate,#CC4D06FF
d9fe89579bae59b225c0714469acdade,D,No Contrast,electronics,0.8,NA,1,0,0,FALSE,FALSE,TRUE,FALSE,basic,#44889CFF
d9fe89579bae59b225c0714469acdade,D,No Contrast,fruit,0.8,NA,1,0,0,FALSE,FALSE,TRUE,FALSE,basic,#44889CFF
d9fe89579bae59b225c0714469acdade,D,Contrast,furniture,0.6666666666666666,0,1,0,0,FALSE,FALSE,FALSE,FALSE,broad subordinate,#CC4D06FF
d9fe89579bae59b225c0714469acdade,D,Contrast,light,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
d9fe89579bae59b225c0714469acdade,D,No Contrast,vegetable,0.6,NA,1,0,0,FALSE,FALSE,TRUE,FALSE,basic,#44889CFF
d9fe89579bae59b225c0714469acdade,D,No Contrast,vehicle,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE,basic,#44889CFF
4364708ef153b55c228707f018ea3eea,A,No Contrast,animal,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
4364708ef153b55c228707f018ea3eea,A,Contrast,beast,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
4364708ef153b55c228707f018ea3eea,A,No Contrast,electronics,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
4364708ef153b55c228707f018ea3eea,A,Contrast,fruit,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
4364708ef153b55c228707f018ea3eea,A,No Contrast,furniture,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
4364708ef153b55c228707f018ea3eea,A,Contrast,light,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
4364708ef153b55c228707f018ea3eea,A,No Contrast,vegetable,0.4,NA,1,0,0,FALSE,FALSE,TRUE,FALSE,basic,#44889CFF
4364708ef153b55c228707f018ea3eea,A,Contrast,vehicle,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
778d24723cc848117fd6bf4bfaa35472,B,Contrast,animal,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
778d24723cc848117fd6bf4bfaa35472,B,No Contrast,beast,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
778d24723cc848117fd6bf4bfaa35472,B,Contrast,electronics,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
778d24723cc848117fd6bf4bfaa35472,B,No Contrast,fruit,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE,basic,#44889CFF
778d24723cc848117fd6bf4bfaa35472,B,Contrast,furniture,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
778d24723cc848117fd6bf4bfaa35472,B,No Contrast,light,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
778d24723cc848117fd6bf4bfaa35472,B,Contrast,vegetable,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
778d24723cc848117fd6bf4bfaa35472,B,No Contrast,vehicle,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
e20915dfee7ba38dec9eff1f6b76680d,C,No Contrast,animal,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE,basic,#44889CFF
e20915dfee7ba38dec9eff1f6b76680d,C,No Contrast,beast,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
e20915dfee7ba38dec9eff1f6b76680d,C,Contrast,electronics,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
e20915dfee7ba38dec9eff1f6b76680d,C,Contrast,fruit,0.3333333333333333,0,1,0,0,FALSE,FALSE,FALSE,FALSE,broad subordinate,#CC4D06FF
e20915dfee7ba38dec9eff1f6b76680d,C,No Contrast,furniture,0.6,NA,1,0,0,FALSE,FALSE,TRUE,FALSE,basic,#44889CFF
e20915dfee7ba38dec9eff1f6b76680d,C,No Contrast,light,0.6,NA,1,0,0,FALSE,FALSE,TRUE,FALSE,basic,#44889CFF
e20915dfee7ba38dec9eff1f6b76680d,C,Contrast,vegetable,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
e20915dfee7ba38dec9eff1f6b76680d,C,Contrast,vehicle,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
509a616664dc871903538dc8ae4e5c67,D,Contrast,animal,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
509a616664dc871903538dc8ae4e5c67,D,Contrast,beast,0,0.5,0,0,0,FALSE,FALSE,FALSE,FALSE,other,grey
509a616664dc871903538dc8ae4e5c67,D,No Contrast,electronics,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
509a616664dc871903538dc8ae4e5c67,D,No Contrast,fruit,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
509a616664dc871903538dc8ae4e5c67,D,Contrast,furniture,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
509a616664dc871903538dc8ae4e5c67,D,Contrast,light,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
509a616664dc871903538dc8ae4e5c67,D,No Contrast,vegetable,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
509a616664dc871903538dc8ae4e5c67,D,No Contrast,vehicle,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
2c4e304d96faebc0a4a1631ef682bc6f,A,No Contrast,animal,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
2c4e304d96faebc0a4a1631ef682bc6f,A,Contrast,beast,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
2c4e304d96faebc0a4a1631ef682bc6f,A,No Contrast,electronics,0,NA,0.5,0,0,FALSE,FALSE,FALSE,FALSE,other,grey
2c4e304d96faebc0a4a1631ef682bc6f,A,Contrast,fruit,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
2c4e304d96faebc0a4a1631ef682bc6f,A,No Contrast,furniture,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
2c4e304d96faebc0a4a1631ef682bc6f,A,Contrast,light,0,1,0,0,0,FALSE,FALSE,FALSE,FALSE,other,grey
2c4e304d96faebc0a4a1631ef682bc6f,A,No Contrast,vegetable,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
2c4e304d96faebc0a4a1631ef682bc6f,A,Contrast,vehicle,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
2f5d3f2ec0c425ded7f607a07aed1451,B,Contrast,animal,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
2f5d3f2ec0c425ded7f607a07aed1451,B,No Contrast,beast,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
2f5d3f2ec0c425ded7f607a07aed1451,B,Contrast,electronics,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
2f5d3f2ec0c425ded7f607a07aed1451,B,No Contrast,fruit,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
2f5d3f2ec0c425ded7f607a07aed1451,B,Contrast,furniture,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
